status_id,permalink,mitu_link,sharetext,post_type,category,date,sponsored,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1537086129925157,https://www.facebook.com/wearemitu/posts/1537086129925157,https://wearemitu.com/mitu-world/donald-trump-is-described-as-a-bigot-and-a-racist/,This is how you shame Trump publicly.,Link,Citizenship & Politics,4/01/2016,0,1,0,1,1,1,30
1405630409737397_1635331906767245,https://www.facebook.com/wearemitu/posts/1635331906767245,https://wearemitu.com/mitu-world/donald-trump-is-now-pitting-blacks-against-latinos-because-lol-nothing-matters/,He doesn't give a (poop emoji) anymore.,Link,Citizenship & Politics,18/08/2016,0,0,1,0,,,
1405630409737397_1713678385599263,https://www.facebook.com/1405630409737397_1713678385599263,https://wearemitu.com/mitu-world/donald-trump-is-officially-directing-american-tax-dollars-to-building-the-border-wall/,Trump press secretary Sean Spicer says possible changes to DACA are not a priority at the moment.,Link,Citizenship & Politics,25/01/2017,0,0,1,0,,,
1405630409737397_1641039309529838,https://www.facebook.com/wearemitu/posts/1641039309529838,https://wearemitu.com/mitu-world/donald-trump-is-saying-things-to-latinos-like-hes-not-donald-trump/,Did Trump just forget all of last year?!,Link,Citizenship & Politics,31/08/2016,0,0,1,0,,,
1405630409737397_1565706707063099,https://www.facebook.com/wearemitu/posts/1565706707063099,https://wearemitu.com/mitu-world/donald-trump-is-using-racism-and-fear-to-get-voters-and-its-working/,He knows exactly what he's doing.,Link,Citizenship & Politics,15/03/2016,0,0,1,0,,,
1405630409737397_1641441296156306,https://www.facebook.com/wearemitu/posts/1641441296156306,https://wearemitu.com/mitu-world/donald-trump-is-visiting-enrique-pena-nieto-and-people-just-dont-get-why/,At least we got some hilarious memes out of it.,Link,Citizenship & Politics,1/09/2016,0,0,1,0,,,
1405630409737397_1500735170226920,https://www.facebook.com/wearemitu/posts/1500735170226920,https://wearemitu.com/mitu-world/donald-trump-kissed-a-latina-during-an-event-and-then-things-got-creepy/,Why does he grab her waist like that?! Ewwww...,Link,News & Issues,8/10/2015,0,0,1,0,,,
1405630409737397_1562337084066728,https://www.facebook.com/wearemitu/posts/1562337084066728,https://wearemitu.com/mitu-world/donald-trump-racist-rhetoric-spreading-into-schools/,How did the school allow this?!,Link,News & Issues,7/03/2016,0,1,1,0,0,1,0
1405630409737397_1591887961111640,https://www.facebook.com/wearemitu/posts/1591887961111640,https://wearemitu.com/mitu-world/donald-trump-racist-rhetoric-spreading-into-schools/,How did the school allow this?!,Link,News & Issues,9/05/2016,0,1,0,1,1,1,63
1405630409737397_1592482097718893,https://www.facebook.com/wearemitu/posts/1592482097718893,https://wearemitu.com/mitu-world/donald-trumps-anti-latino-comments-might-cost-this-prominent-senator-his-job/,He's learning the hard way not to mess with Latinos.,Link,Citizenship & Politics,10/05/2016,0,0,1,0,,,
1405630409737397_1720307021603066,https://www.facebook.com/1405630409737397_1720307021603066,https://wearemitu.com/mitu-world/donald-trumps-dept-of-labor-secretary-pick-has-admitted-to-hiring-an-undocumented-worker/,He's not the first to admit something like this.,Link,Citizenship & Politics,7/02/2017,0,0,1,0,,,
1405630409737397_1537443056556131,https://www.facebook.com/wearemitu/posts/1537443056556131,https://wearemitu.com/mitu-world/donald-trumps-first-campaign-ad-is-as-misleading-as-you-would-think/,Well that's embarrassing.,Link,Citizenship & Politics,5/01/2016,0,1,1,0,0,1,0
1405630409737397_1564844327149337,https://www.facebook.com/wearemitu/posts/1564844327149337,https://wearemitu.com/mitu-world/donald-trumps-first-campaign-ad-is-as-misleading-as-you-would-think/,Well that's embarrassing.,Link,Citizenship & Politics,13/03/2016,0,1,0,1,1,1,68
1405630409737397_1578136262486810,https://www.facebook.com/wearemitu/posts/1578136262486810,https://wearemitu.com/mitu-world/donald-trumps-plan-to-build-the-wall-is-to-make-poor-mexicans-pay-for-it/,Just when you thought Trump couldn't be more cruel.,Link,Citizenship & Politics,7/04/2016,0,0,1,0,,,
1405630409737397_1589261721374264,https://www.facebook.com/wearemitu/posts/1589261721374264,https://wearemitu.com/mitu-world/donald-trumps-recent-run-in-with-protesters-explained-by-reality-tv-gifs/,Who better than the Real Housewives to explain Trump?,Link,Citizenship & Politics,2/05/2016,0,0,1,0,,,
