status_id,permalink,post_type,video_repost_sharetext,created_time,date,sponsored,video_meme,series,category,format,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1696316870668748,https://www.facebook.com/1405630409737397_1696316870668748,video,You should be eating arroz con huevo con to Abuela!,23/12/2016 16:00,23/12/2016,0,0,Abuela,Celebrity & Gossip,Square,0,1,0,,,
1405630409737397_1524978954469208,https://www.facebook.com/1405630409737397_1524978954469208,video,You won’t believe the ignorance. #WeAreAmerica,9/12/2015 22:00,9/12/2015,0,0,WeAreAmerica,News & Issues,Regular,0,1,0,,,
1405630409737397_1626062067694229,https://www.facebook.com/1405630409737397_1626062067694229,video,You won't remember finishing this drink.,29/07/2016 7:00,29/07/2016,0,1,Video Memes,Food & Beverages,Square,0,1,0,,,
1405630409737397_1528007864166317,https://www.facebook.com/1405630409737397_1528007864166317,video,"You wouldn't last a day in her shoes.

Video by: Christopher Roybal",14/12/2015 18:00,14/12/2015,0,0,NA,Sex & Relationships,Regular,0,1,0,,,
1405630409737397_1667851953515240,https://www.facebook.com/1405630409737397_1667851953515240,video,"You’ll feel just as good about it. Promise.
Vote November 8. Learn more: bit.ly/2ffyiQz",29/10/2016 7:00,29/10/2016,1,0,Voting,Citizenship & Politics,Square,0,1,0,,,
1405630409737397_1555499061417197,https://www.facebook.com/1405630409737397_1555499061417197,video,"You’ve heard of cholos, but have you heard of pachucos?",18/02/2016 18:00,18/02/2016,0,0,NA,Identities,Regular,1,1,0,0,1,0
1405630409737397_1658925657741203,https://www.facebook.com/1405630409737397_1658925657741203,video,"You’ve heard of cholos, but have you heard of pachucos?",12/10/2016 11:00,12/10/2016,0,0,NA,Identities,Regular,1,0,1,1,1,237
1405630409737397_1567652870201816,https://www.facebook.com/1405630409737397_1567652870201816,video,"You'll never see ""Street Fighter: The Movie"" and ""Blood In, Blood Out"" the same way again.",19/03/2016 16:00,19/03/2016,0,1,Video Memes,TV & Movies,Square,0,1,0,,,
1405630409737397_1595158560784580,https://www.facebook.com/1405630409737397_1595158560784580,video,You'll want to marry this mangonada.,16/05/2016 16:00,16/05/2016,0,0,LDDBS,Food & Beverages,Regular ,1,1,0,0,1,0
1405630409737397_1793557950944639,https://www.facebook.com/1405630409737397_1793557950944639,video,You'll want to marry this mangonada.,5/07/2017 20:00,5/07/2017,0,0,LDDBS,Food & Beverages,Regular ,1,0,1,1,1,415
1405630409737397_1640238002943302,https://www.facebook.com/1405630409737397_1640238002943302,video,Your avocado obsession is killing the environment.,29/08/2016 20:00,29/08/2016,0,0,NA,News & Issues,Square,1,1,0,0,1,0
1405630409737397_1669287830038319,https://www.facebook.com/1405630409737397_1669287830038319,video,Your avocado obsession is killing the environment.,1/11/2016 7:00,1/11/2016,0,0,NA,Food & Beverages,Square,1,0,1,1,1,64
1405630409737397_1767106913589743,https://www.facebook.com/1405630409737397_1767106913589743,video,Your Fridge vs. My Fridge,8/05/2017 16:07,8/05/2017,0,0,NA,Food & Beverages,Square,1,1,0,0,1,0
1405630409737397_1768459603454474,https://www.facebook.com/1405630409737397_1768459603454474,video,Your Fridge vs. My Fridge,13/05/2017 7:00,13/05/2017,0,0,NA,Food & Beverages,Square,1,0,1,1,1,5
1405630409737397_1507772566189847,https://www.facebook.com/1405630409737397_1507772566189847,video,Your snack game has never been more terrifying. #mituTERROR,30/10/2015 18:00,30/10/2015,0,0,mituTERROR,DIY,Regular,0,1,0,,,
1405630409737397_1758740727759695,https://www.facebook.com/1405630409737397_1758740727759695,video,Your tía siempre tiene pila,24/04/2017 9:30,24/04/2017,1,1,Video Memes,Sports,Square,0,1,0,,,
